customer_id,first_name,last_name,email,address,district,city,country,postal_code,phone,activebool,create_date,active
524,Jared,Ely,jared.ely@sakilacustomer.org,1003 Qinhuangdao Street,West Java,Purwakarta,Indonesia,25972.0,35533100000.0,t,2006-02-14,1
1,Mary,Smith,mary.smith@sakilacustomer.org,1913 Hanoi Way,Nagasaki,Sasebo,Japan,35200.0,28303400000.0,t,2006-02-14,1
2,Patricia,Johnson,patricia.johnson@sakilacustomer.org,1121 Loja Avenue,California,San Bernardino,United States,17886.0,838635000000.0,t,2006-02-14,1
3,Linda,Williams,linda.williams@sakilacustomer.org,692 Joliet Street,Attika,Athenai,Greece,83579.0,448477000000.0,t,2006-02-14,1
4,Barbara,Jones,barbara.jones@sakilacustomer.org,1566 Inegl Manor,Mandalay,Myingyan,Myanmar,53561.0,705814000000.0,t,2006-02-14,1
5,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,53 Idfu Parkway,Nantou,Nantou,Taiwan,42399.0,10655600000.0,t,2006-02-14,1
6,Jennifer,Davis,jennifer.davis@sakilacustomer.org,1795 Santiago de Compostela Way,Texas,Laredo,United States,18743.0,860453000000.0,t,2006-02-14,1
7,Maria,Miller,maria.miller@sakilacustomer.org,900 Santiago de Compostela Parkway,Central Serbia,Kragujevac,Yugoslavia,93896.0,716571000000.0,t,2006-02-14,1
8,Susan,Wilson,susan.wilson@sakilacustomer.org,478 Joliet Way,Hamilton,Hamilton,New Zealand,77948.0,657282000000.0,t,2006-02-14,1
9,Margaret,Moore,margaret.moore@sakilacustomer.org,613 Korolev Drive,Masqat,Masqat,Oman,45844.0,380658000000.0,t,2006-02-14,1
10,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,1531 Sal Drive,Esfahan,Esfahan,Iran,53628.0,648857000000.0,t,2006-02-14,1
11,Lisa,Anderson,lisa.anderson@sakilacustomer.org,1542 Tarlac Parkway,Kanagawa,Sagamihara,Japan,1027.0,635297000000.0,t,2006-02-14,1
12,Nancy,Thomas,nancy.thomas@sakilacustomer.org,808 Bhopal Manor,Haryana,Yamuna Nagar,India,10672.0,465888000000.0,t,2006-02-14,1
